letter,question,answer
أ,عاصمة اليونان ومهد الحضارة الإغريقية القديمة والفلسفة والألعاب الأولمبية؟,أثينا
أ,دولة عربية عريقة في بلاد الشام عاصمتها عمان وتشتهر بمدينة البتراء؟,أردن
أ,مخترع المصباح الكهربائي الذي أضاء العالم هو توماس...؟,إديسون
أ,أول الخلفاء الراشدين وصاحب النبي في الهجرة هو ... بكر الصديق؟,أبو بكر
أ,دولة إسلامية في قارة آسيا عاصمتها كابول وتتميز بتضاريسها الجبلية؟,أفغانستان
أ,مدينة إماراتية هي العاصمة السياسية لدولة الإمارات العربية المتحدة؟,أبوظبي
أ,قارة شاسعة تقع فيها دول مثل كينيا ونيجيريا وجنوب أفريقيا؟,أفريقيا
أ,الحضارة الإسلامية العريقة التي قامت في شبه جزيرة أيبيريا (إسبانيا حالياً)؟,أندلس
أ,فيلسوف يوناني شهير كان تلميذاً لأفلاطون ومعلماً للإسكندر الأكبر؟,أرسطو
أ,لون يرمز للسلام والصفاء والنقاء ويرفع كراية عند الاستسلام؟,أبيض
أ,لون من الألوان الأساسية يرمز للحرارة والنشاط وهو لون دم الكائنات الحية؟,أحمر
أ,شهر ميلادي يأتي في فصل الربيع ويطلق عليه شعبياً شهر الكذب والمقالب؟,أبريل
أ,معدن ثمين يعتبر أصلب المواد الطبيعية ويستخدم بكثرة في المجوهرات الفاخرة؟,ألماس
أ,حيوان ثديي طويل الأذنين يقفز بسرعة ويضرب به المثل في الجبن والسرعة؟,أرنب
أ,أكبر قارات العالم من حيث المساحة وعدد السكان وتضم الصين والهند؟,آسيا
أ,حيوان أليف وصبور يلقب بـ "سفينة الصحراء" ويتحمل العطش لأيام طوال؟,إبل
أ,مسرح غنائي إيطالي شهير يعتمد على الغناء الكلاسيكي والتمثيل المسرحي؟,أوبرا
أ,فاكهة استوائية لذيذة شكلها يشبه التاج ومغطاة بالقشور الخشنة؟,أناناس
ب,عاصمة لبنان وتلقب بباريس الشرق وتشتهر بالثقافة والفن والتاريخ؟,بيروت
ب,حضارة قديمة قامت في بلاد الرافدين وتشتهر بحدائقها المعلقة وقوانين حمورابي؟,بابل
ب,ملكة سبأ التاريخية التي زارت النبي سليمان عليه السلام وذكرت في القرآن؟,بلقيس
ب,معركة إسلامية شهيرة وفاصلة وقعت في شهر رمضان المبارك وانتصر فيها المسلمون؟,بدر
ب,دولة آسيوية فقيرة عاصمتها دكا وتكثر فيها الفيضانات والأنهار؟,بنغلاديش
