letter,question,answer,difficulty
أ,عاصمة اليونان ومهد الحضارة الإغريقية القديمة والفلسفة والألعاب الأولمبية؟,أثينا,متوسط
أ,دولة عربية عريقة في بلاد الشام عاصمتها عمان وتشتهر بمدينة البتراء؟,أردن,متوسط
أ,مخترع المصباح الكهربائي الذي أضاء العالم هو توماس...؟,إديسون,متوسط
أ,أول الخلفاء الراشدين وصاحب النبي في الهجرة هو ... بكر الصديق؟,أبو بكر,متوسط
أ,دولة إسلامية في قارة آسيا عاصمتها كابول وتتميز بتضاريسها الجبلية؟,أفغانستان,متوسط
أ,مدينة إماراتية هي العاصمة السياسية لدولة الإمارات العربية المتحدة؟,أبوظبي,متوسط
أ,قارة شاسعة تقع فيها دول مثل كينيا ونيجيريا وجنوب أفريقيا؟,أفريقيا,متوسط
أ,الحضارة الإسلامية العريقة التي قامت في شبه جزيرة أيبيريا (إسبانيا حالياً)؟,أندلس,متوسط
أ,فيلسوف يوناني شهير كان تلميذاً لأفلاطون ومعلماً للإسكندر الأكبر؟,أرسطو,متوسط
أ,لون يرمز للسلام والصفاء والنقاء ويرفع كراية عند الاستسلام؟,أبيض,سهل
أ,لون من الألوان الأساسية يرمز للحرارة والنشاط وهو لون دم الكائنات الحية؟,أحمر,متوسط
أ,شهر ميلادي يأتي في فصل الربيع ويطلق عليه شعبياً شهر الكذب والمقالب؟,أبريل,سهل
أ,معدن ثمين يعتبر أصلب المواد الطبيعية ويستخدم بكثرة في المجوهرات الفاخرة؟,ألماس,متوسط
أ,حيوان ثديي طويل الأذنين يقفز بسرعة ويضرب به المثل في الجبن والسرعة؟,أرنب,سهل
أ,أكبر قارات العالم من حيث المساحة وعدد السكان وتضم الصين والهند؟,آسيا,متوسط
أ,"حيوان أليف وصبور يلقب بـ ""سفينة الصحراء"" ويتحمل العطش لأيام طوال؟",إبل,سهل
أ,مسرح غنائي إيطالي شهير يعتمد على الغناء الكلاسيكي والتمثيل المسرحي؟,أوبرا,متوسط
